timeJ,axJ,ayJ,azJ,aTJ
0.002,-0.0037,-0.0233,0.2431,0.244
0.002,-0.0263,0.0054,0.2502,0.252
0.002,-0.0109,-0.0162,0.3145,0.315
0.006,-0.0124,0.024,0.3429,0.344
0.01,0.0097,0.0161,0.3786,0.379
0.015,0.0341,-0.0066,0.3857,0.387
0.021,0.0515,-0.0463,0.3882,0.394
0.031,0.0931,-0.0576,0.3742,0.39
0.032,0.0586,-0.0668,0.3581,0.369
0.034,0.0609,-0.0264,0.2874,0.295
0.04,0.0403,0.0421,0.2268,0.234
0.044,-0.036,0.0739,0.1764,0.195
0.049,-0.0655,0.1143,0.1289,0.184
0.055,-0.0625,0.1322,0.0965,0.175
0.059,-0.0913,0.1562,0.0695,0.194
0.064,-0.1019,0.148,0.036,0.183
0.068,-0.0779,0.1506,0.0079,0.17
0.074,-0.0436,0.1403,-0.034,0.151
0.079,-0.0257,0.0936,-0.0849,0.129
0.083,-0.0194,0.1064,-0.1595,0.193
0.091,-0.0226,0.0741,-0.2244,0.237
0.093,-0.0285,0.0971,-0.2726,0.291
0.098,-0.0084,0.0874,-0.2756,0.289
0.103,-0.0271,0.1071,-0.31,0.329
0.107,-0.0369,0.1037,-0.3065,0.326
0.112,-0.0306,0.0939,-0.332,0.346
0.117,-0.0441,0.0681,-0.2982,0.309
0.122,-0.0102,0.0456,-0.2695,0.274
0.127,0.0351,0.0235,-0.2292,0.233
0.131,0.0728,0.009,-0.1892,0.203
0.137,0.11,-0.0147,-0.1471,0.184
0.142,0.1444,-0.0693,-0.1052,0.192
0.147,0.1667,-0.1235,-0.1112,0.235
0.151,0.1916,-0.1537,-0.0479,0.25
0.156,0.1833,-0.1624,-0.0015,0.245
0.161,0.137,-0.1665,0.0545,0.222
0.165,0.1148,-0.1637,0.0579,0.208
0.174,0.0976,-0.1277,0.059,0.171
0.175,0.0855,-0.1112,0.046,0.148
0.18,0.1,-0.095,0.0521,0.147
0.185,0.0886,-0.0884,0.0537,0.136
0.19,0.0872,-0.0892,0.0743,0.145
0.194,0.055,-0.0995,0.0854,0.142
0.199,0.0089,-0.117,0.1276,0.173
0.204,-0.0179,-0.0772,0.1887,0.205
0.209,-0.0494,-0.0472,0.2021,0.213
0.214,-0.0928,-0.0102,0.2035,0.224
0.219,-0.1264,0.0338,0.2049,0.243
0.224,-0.1531,0.0586,0.2086,0.265
0.229,-0.192,0.0833,0.1861,0.28
0.233,-0.2003,0.0867,0.1778,0.282
0.239,-0.1971,0.0688,0.1527,0.259
0.243,-0.1682,0.0751,0.1538,0.24
0.248,-0.116,0.0529,0.1643,0.208
0.253,-0.0695,0.0479,0.1411,0.164
0.258,-0.0332,0.0193,0.1727,0.177
0.262,-0.0118,0.0029,0.1792,0.18
0.267,0.0256,-0.0203,0.1665,0.17
0.273,0.0101,-0.0243,0.1682,0.17
0.277,0.0114,-0.0355,0.1698,0.174
0.281,-0.0039,-0.0182,0.143,0.144
0.287,0.0071,-0.0061,0.1142,0.115
0.291,0.0185,0.0173,0.1049,0.108
0.296,0.0016,0.0163,0.0721,0.074
0.301,-0.0289,0.0126,0.0398,0.051
0.307,-0.0702,0.0061,0.0127,0.072
0.311,-0.1011,0.0183,0.0145,0.104
0.315,-0.1406,0.0301,0.0236,0.146
0.321,-0.1294,0.0578,-0.0051,0.142
0.325,-0.1321,0.0683,-0.0285,0.151
0.33,-0.1534,0.0782,-0.0445,0.178
0.335,-0.1646,0.0545,-0.053,0.181
0.34,-0.1565,0.0712,-0.0828,0.191
0.345,-0.1459,0.0425,-0.06,0.163
0.349,-0.114,0.0261,-0.0446,0.125
0.355,-0.1062,-0.0021,-0.0222,0.108
0.359,-0.1012,-0.0346,-0.0048,0.107
0.364,-0.111,-0.0523,-0.002,0.123
0.369,-0.1046,-0.0482,0.0054,0.115
0.374,-0.0848,-0.0437,0.003,0.095
0.379,-0.0848,-0.0411,0.0075,0.095
0.383,-0.0547,-0.0379,-0.024,0.071
0.389,-0.0373,-0.0485,-0.0578,0.084
0.393,-0.0158,-0.0537,-0.0655,0.086
0.398,-0.0043,-0.0513,-0.0994,0.112
0.403,-0.0145,-0.0865,-0.1095,0.14
0.408,-0.0153,-0.0784,-0.096,0.125
0.413,-0.016,-0.0843,-0.0921,0.126
0.418,-0.0096,-0.0901,-0.1024,0.137
0.422,0.0043,-0.0982,-0.1246,0.159
0.427,0.0352,-0.0969,-0.125,0.162
0.432,0.038,-0.1078,-0.1182,0.164
0.436,0.0273,-0.1072,-0.1349,0.174
0.442,0.0268,-0.1166,-0.1133,0.165
0.447,0.0032,-0.1311,-0.0845,0.156
0.451,0.0016,-0.1174,-0.0581,0.131
0.457,-0.0187,-0.0993,-0.0674,0.121
0.461,0.0066,-0.0935,-0.067,0.115
0.466,-0.0107,-0.0762,-0.0523,0.093
0.476,0.0033,-0.0592,-0.0779,0.098
0.478,0.0079,-0.0734,-0.1008,0.125
0.498,0.0128,-0.0545,-0.0973,0.112
0.498,-0.0107,-0.0641,-0.1152,0.132
0.499,-0.0434,-0.0641,-0.1164,0.14
0.499,-0.0569,-0.0614,-0.0987,0.129
0.5,-0.0754,-0.0345,-0.0885,0.121
0.507,-0.0754,-0.0026,-0.1047,0.129
0.51,-0.0762,0.032,-0.0855,0.119
0.515,-0.0587,0.029,-0.1024,0.122
0.523,-0.0562,0.0362,-0.0957,0.117
0.525,-0.0518,0.0463,-0.0798,0.106
0.529,-0.0551,0.0567,-0.0381,0.088
0.533,-0.0542,0.0531,-0.0515,0.092
0.541,-0.0157,0.0332,-0.084,0.092
0.544,-0.0086,0.002,-0.1044,0.105
0.55,-0.0063,-0.0074,-0.1034,0.104
0.555,0.022,-0.038,-0.1025,0.112
0.561,0.0337,-0.0491,-0.0897,0.108
0.564,0.0384,-0.0674,-0.0652,0.101
0.569,0.0507,-0.0811,-0.0596,0.113
0.576,0.0944,-0.0857,-0.0728,0.147
0.579,0.1316,-0.1075,-0.0998,0.197
0.584,0.1507,-0.0921,-0.1119,0.209
0.608,0.1637,-0.0849,-0.1638,0.247
0.609,0.1634,-0.062,-0.1888,0.257
0.609,0.1357,-0.0613,-0.2369,0.28
0.609,0.0736,-0.0467,-0.2844,0.298
