time,ax,ay,az,aT
0.003,0.0964,0.1311,-0.3886,0.421
0.003,0.0573,0.1006,-0.3995,0.416
0.003,0.0307,0.0789,-0.3799,0.389
0.003,0.036,0.0611,-0.2941,0.303
0.007,0.0703,0.0851,-0.1684,0.201
0.01,0.0737,0.1074,-0.0361,0.135
0.016,0.082,0.1156,0.0959,0.171
0.02,0.0638,0.0949,0.1727,0.207
0.025,0.0572,0.1001,0.2376,0.264
0.029,0.0668,0.0784,0.2333,0.255
0.034,0.0926,0.0656,0.2101,0.239
0.039,0.0986,0.0403,0.1394,0.175
0.044,0.128,0.0361,0.0761,0.153
0.05,0.1618,0.0556,0.0273,0.173
0.054,0.1906,0.075,0.0049,0.205
0.059,0.2194,0.0872,0.0017,0.236
0.066,0.2195,0.1135,-0.0015,0.247
0.068,0.1743,0.0893,0.0099,0.196
0.074,0.1436,0.0888,0.0213,0.17
0.079,0.1228,0.0855,0.0139,0.15
0.083,0.1308,0.0602,-0.0124,0.144
0.088,0.1461,0.0679,-0.0193,0.162
0.092,0.1758,0.0513,-0.0474,0.189
0.097,0.208,0.0345,-0.0992,0.233
0.102,0.2046,0.0127,-0.1246,0.24
0.107,0.2325,0.0007,-0.157,0.281
0.112,0.2343,-0.0112,-0.2181,0.32
0.117,0.2723,-0.0177,-0.2076,0.343
0.122,0.3198,-0.0021,-0.1807,0.367
0.126,0.3121,-0.0264,-0.1853,0.364
0.132,0.321,-0.0475,-0.1401,0.353
0.136,0.3442,-0.087,-0.0976,0.368
0.141,0.3412,-0.1235,-0.0483,0.366
0.146,0.3552,-0.1691,-0.0136,0.394
0.151,0.348,-0.2454,0.0211,0.426
0.155,0.353,-0.2759,0.0316,0.449
0.16,0.3702,-0.2749,0.0898,0.47
0.165,0.3614,-0.2546,0.1574,0.469
0.17,0.3407,-0.2151,0.2009,0.45
0.175,0.3082,-0.1806,0.2372,0.429
0.179,0.273,-0.1679,0.2735,0.421
0.185,0.2351,-0.1533,0.2477,0.374
0.19,0.178,-0.1344,0.2032,0.302
0.194,0.1256,-0.0995,0.1614,0.227
0.2,0.1069,-0.0701,0.1056,0.166
0.204,0.0814,-0.0222,0.036,0.092
0.209,0.0612,0.0082,-0.0499,0.079
0.213,-0.0016,0.0499,-0.0851,0.099
0.219,-0.0782,0.1316,-0.1344,0.204
0.223,-0.1496,0.1604,-0.1857,0.287
0.228,-0.2038,0.1819,-0.2345,0.36
0.233,-0.2216,0.2032,-0.264,0.4
0.238,-0.2487,0.2248,-0.2815,0.438
