timeE,axE,ayE,azE,aTE
0.002,0.1248,0.0728,0.2381,0.279
0.002,0.1134,0.1014,0.3254,0.359
0.004,0.134,0.0873,0.3338,0.37
0.011,0.2335,0.0397,0.285,0.371
0.014,0.2423,-0.003,0.1812,0.303
0.019,-0.2795,0.2129,0.2135,0.411
0.024,-0.1375,0.3931,0.1449,0.441
0.029,0.0796,0.4015,0.0566,0.413
0.033,0.1766,0.222,-0.013,0.284
0.038,0.2545,-0.028,0.0601,0.263
0.047,0.2847,-0.1933,0.1852,0.391
0.048,0.334,-0.2359,0.4029,0.574
0.053,0.1392,-0.1325,0.4552,0.494
0.058,-0.254,0.1379,0.4216,0.511
0.063,-0.1411,0.312,0.4598,0.573
0.068,0.1114,0.3731,0.3165,0.502
0.072,0.2339,0.2234,0.2381,0.402
0.078,0.1862,0.0091,0.1599,0.246
0.082,0.1504,-0.0737,0.1513,0.226
0.087,0.119,-0.0654,0.1425,0.197
0.093,0.0752,-0.0281,0.1143,0.14
0.096,0.0477,0.0406,0.1288,0.143
0.102,-0.0163,0.0931,0.1141,0.148
0.107,-0.0352,0.1555,0.0632,0.172
0.112,0.0245,0.2183,0.0551,0.226
0.116,0.1103,0.2668,0.0898,0.302
0.122,0.1483,0.265,0.1318,0.331
0.131,0.1696,0.2247,0.2073,0.35
0.131,0.1672,0.1769,0.2807,0.372
0.136,0.153,0.1073,0.3184,0.369
0.14,0.1294,0.0327,0.3229,0.349
0.146,0.0676,-0.0444,0.3371,0.347
0.151,0.0488,-0.0689,0.3584,0.368
0.156,0.0418,-0.0792,0.3847,0.395
0.161,0.0823,-0.0754,0.4397,0.454
0.164,0.1532,-0.0385,0.4494,0.476
0.17,0.2212,-0.0522,0.4379,0.493
0.174,0.2577,-0.0709,0.3882,0.471
0.179,0.2724,-0.0732,0.3317,0.435
0.184,0.2771,-0.078,0.2753,0.398
0.188,0.2625,-0.0852,0.2189,0.352
0.194,0.2525,-0.1091,0.1746,0.326
0.198,0.276,-0.0994,0.1039,0.311
0.203,0.3018,-0.1133,0.0643,0.329
0.208,0.3398,-0.1248,0.0772,0.37
0.213,0.3518,-0.1241,0.0781,0.381
0.218,0.3236,-0.0924,0.0982,0.351
0.222,0.2717,-0.0847,0.1064,0.304
0.231,0.2246,-0.0413,0.0454,0.233
0.232,0.1823,-0.0266,-0.0203,0.185
0.237,0.1377,0.005,-0.0574,0.149
0.242,0.1077,0.044,-0.0611,0.131
0.247,0.1541,0.0568,-0.0411,0.169
0.251,0.1765,0.034,-0.038,0.184
0.256,0.2351,0.0137,0.0058,0.236
0.262,0.2486,-0.0307,0.0712,0.26
0.266,0.2625,-0.0538,0.1654,0.315
0.271,0.2454,-0.0798,0.1786,0.314
0.276,0.2784,-0.118,0.1371,0.332
0.281,0.2681,-0.1635,0.0814,0.324
0.285,0.2314,-0.1588,0.0187,0.281
0.29,0.2449,-0.1326,-0.0202,0.279
0.295,0.2582,-0.0871,-0.0806,0.284
0.3,0.288,-0.0033,-0.1721,0.336
0.305,0.2601,0.0641,-0.2638,0.376
0.31,0.2032,0.1273,-0.3631,0.435
0.315,0.0954,0.1484,-0.4391,0.473
0.319,0.037,0.178,-0.485,0.518
0.324,0.0184,0.1996,-0.4961,0.535
0.329,0.0326,0.2225,-0.4056,0.464
0.334,0.0435,0.2013,-0.2802,0.348
0.339,0.1039,0.1403,-0.1484,0.229
0.348,0.1397,0.0728,-0.0674,0.171
0.348,0.17,-0.0373,0.0205,0.175
0.354,0.2188,-0.152,0.0532,0.272
0.358,0.2694,-0.2497,0.062,0.373
0.364,0.322,-0.3092,0.0302,0.447
0.368,0.3222,-0.3208,0.02,0.455
0.372,0.2726,-0.2944,0.1009,0.414
0.377,0.2375,-0.2901,0.2562,0.454
0.383,0.3287,-0.282,0.0822,0.441
0.387,0.3435,-0.3198,-0.0625,0.473
0.392,0.2703,-0.3888,-0.1543,0.498
0.397,0.1933,-0.4291,-0.1215,0.486
0.402,0.1861,-0.3906,-0.0408,0.435
0.406,0.2076,-0.3618,0.047,0.42
0.414,0.2502,-0.3476,0.1062,0.441
0.416,0.2825,-0.372,0.0915,0.476
0.421,0.2903,-0.3706,0.0246,0.471
0.432,0.2931,-0.3768,-0.0634,0.482
0.432,0.2982,-0.3858,-0.1247,0.503
0.436,0.3084,-0.4025,-0.1975,0.544
0.441,0.3067,-0.4075,-0.2317,0.56
0.446,0.3076,-0.4175,-0.3255,0.612
0.45,0.3135,-0.4321,-0.4,0.667
0.455,0.279,-0.425,-0.4602,0.686
0.46,0.2592,-0.403,-0.4753,0.675
0.465,0.2804,-0.3996,-0.4357,0.654
0.47,0.3068,-0.379,-0.4203,0.644
0.474,0.3455,-0.3725,-0.3788,0.634
0.48,0.3847,-0.3467,-0.3757,0.64
0.485,0.3648,-0.3351,-0.3989,0.636
0.489,0.3077,-0.2852,-0.4556,0.619
0.498,0.242,-0.2423,-0.5003,0.606
0.502,0.1844,-0.1991,-0.495,0.564
0.504,0.1297,-0.1794,-0.4637,0.514
0.51,0.0276,-0.1641,-0.4111,0.444
0.514,0.0068,-0.1747,-0.4306,0.465
0.519,-0.0118,-0.2183,-0.5148,0.559
0.524,-0.0821,-0.2923,-0.5683,0.644
0.545,-0.1578,-0.2987,-0.469,0.578
0.546,-0.1649,-0.2736,-0.2865,0.429
